,Unnamed: 0,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
746,762,Geldermalsen,Gelderland,Oost-Nederland           ,West Betuwe                        ,51.88333333333333,5.283333333333333,10855,"['51° 53′ NB, 5° 17′ OL']"
755,771,Groesbeek,Gelderland,Oost-Nederland           ,Berg en Dal                        ,51.78333333333333,5.933333333333334,16725,"['51° 47′ NB, 5° 56′ OL']"
763,779,Harderwijk,Gelderland,Oost-Nederland           ,Harderwijk                         ,52.35,5.616666666666667,48623,"['52° 21′ NB, 5° 37′ OL']"
767,783,Hattem,Gelderland,Oost-Nederland           ,Hattem                             ,52.48333333333333,6.066666666666666,12241,"52° 29′ NB, 6° 4′ OL"
771,788,Heerde,Gelderland,Oost-Nederland           ,Heerde                             ,52.383333333333304,6.05,11520,"['52° 23′ NB, 6° 3′ OL']"
795,814,Huissen,Gelderland,Oost-Nederland           ,Lingewaard                         ,51.93333333333333,5.933333333333334,19285,"['51° 56′ NB, 5° 56′ OL']"
820,842,Lent,Gelderland,Oost-Nederland           ,Nijmegen                           ,51.86666666666667,5.866666666666667,11175,"['51° 52′ NB, 5° 52′ OL']"
824,846,Lichtenvoorde,Gelderland,Oost-Nederland           ,Oost Gelre                         ,51.98333333333333,6.566666666666666,12975,"['51° 59′ NB, 6° 34′ OL']"
829,851,Lochem,Gelderland,Oost-Nederland           ,Lochem                             ,52.16666666666666,6.416666666666668,13575,"['52° 10′ NB, 6° 25′ OL']"
834,857,Lunteren,Gelderland,Oost-Nederland           ,Ede                                ,52.08333333333334,5.616666666666667,13580,"['52° 5′ NB, 5° 37′ OL']"
836,859,Malden,Gelderland,Oost-Nederland           ,Heumen                             ,51.78333333333333,5.85,11330,"['51° 47′ NB, 5° 51′ OL']"
850,873,Nijkerk,Gelderland,Oost-Nederland           ,Nijkerk                            ,52.21666666666667,5.4833333333333325,29525,"['52° 13′ NB, 5° 29′ OL']"
852,875,Nijmegen,Gelderland,Oost-Nederland           ,Nijmegen                           ,51.83333333333334,5.866666666666667,176669,"['51° 50′ NB, 5° 52′ OL']"
854,877,Nunspeet,Gelderland,Oost-Nederland           ,Nunspeet                           ,52.38333333333333,5.783333333333332,20125,"['52° 23′ NB, 5° 47′ OL']"
861,884,Oosterbeek,Gelderland,Oost-Nederland           ,Renkum                             ,51.98333333333333,5.85,11300,"['51° 59′ NB, 5° 51′ OL']"
873,896,Putten,Gelderland,Oost-Nederland           ,Putten                             ,52.25,5.616666666666667,24198,"['52° 15′ NB, 5° 37′ OL']"
889,912,Scherpenzeel,Gelderland,Oost-Nederland           ,Scherpenzeel                       ,52.06666666666667,5.4833333333333325,10000,"['52° 4′ NB, 5° 29′ OL']"
905,928,Tiel,Gelderland,Oost-Nederland           ,Tiel                               ,51.88333333333333,5.433333333333334,41962,"['51° 53′ NB, 5° 26′ OL']"
911,934,Twello,Gelderland,Oost-Nederland           ,Voorst                             ,52.23333333333333,6.1,13470,"['52° 14′ NB, 6° 6′ OL']"
915,938,Ulft,Gelderland,Oost-Nederland           ,Oude IJsselstreek                  ,51.88333333333333,6.383333333333334,10400,"['51° 53′ NB, 6° 23′ OL']"
916,939,Vaassen,Gelderland,Oost-Nederland           ,Epe                                ,52.28333333333333,5.966666666666668,12680,"['52° 17′ NB, 5° 58′ OL']"
923,946,Velp,Gelderland,Oost-Nederland           ,Rheden                             ,52.0,5.9833333333333325,18085,"['51° 60′ NB, 5° 59′ OL']"
928,952,Voorthuizen,Gelderland,Oost-Nederland           ,Barneveld                          ,52.18333333333333,5.6,10475,"52° 11′ NB, 5° 36′ OL"
935,959,Wageningen,Gelderland,Oost-Nederland           ,Wageningen                         ,51.96666666666667,5.666666666666668,39134,"['51° 58′ NB, 5° 40′ OL']"
944,968,Westervoort,Gelderland,Oost-Nederland           ,Westervoort                        ,51.95,5.966666666666668,15013,"['51° 57′ NB, 5° 58′ OL']"
946,970,Wezep,Gelderland,Oost-Nederland           ,Oldebroek                          ,52.46666666666667,6.0,12280,"['52° 28′ NB, 5° 60′ OL']"
948,972,Wijchen,Gelderland,Oost-Nederland           ,Wijchen                            ,51.8,5.716666666666668,36350,"['51° 48′ NB, 5° 43′ OL']"
952,976,Winterswijk,Gelderland,Oost-Nederland           ,Winterswijk                        ,51.96666666666667,6.716666666666668,23570,"['51° 58′ NB, 6° 43′ OL']"
963,987,Zaltbommel,Gelderland,Oost-Nederland           ,Zaltbommel                         ,51.81666666666667,5.25,29225,"['51° 49′ NB, 5° 15′ OL']"
968,993,Zevenaar,Gelderland,Oost-Nederland           ,Zevenaar                           ,51.93333333333333,6.066666666666666,25335,"['51° 56′ NB, 6° 4′ OL']"
973,998,Zutphen,Gelderland,Oost-Nederland           ,Zutphen                            ,52.15,6.2,39030,"['52° 9′ NB, 6° 12′ OL']"
981,1006,Appingedam,Groningen,Noord-Nederland          ,Appingedam                         ,53.31666666666667,6.866666666666667,11523,"['53° 19′ NB, 6° 52′ OL']"
995,1022,Delfzijl,Groningen,Noord-Nederland          ,Delfzijl                           ,53.33333333333334,6.916666666666668,24609,"['53° 20′ NB, 6° 55′ OL']"
1015,1043,Groningen,Groningen,Noord-Nederland          ,Groningen                          ,53.21666666666667,6.566666666666666,202285,"['53° 13′ NB, 6° 34′ OL']"
1018,1046,Haren ,Groningen,Noord-Nederland          ,Groningen                          ,53.16666666666666,6.6,17640,"53° 10′ NB, 6° 36′ OL"
1023,1052,Hoogezand,Groningen,Noord-Nederland          ,Midden-Groningen                   ,53.15,6.75,21900,"['53° 9′ NB, 6° 45′ OL']"
1040,1070,Leek,Groningen,Noord-Nederland          ,Westerkwartier                     ,53.16666666666666,6.383333333333334,11260,"['53° 10′ NB, 6° 23′ OL']"
1111,1142,Stadskanaal,Groningen,Noord-Nederland          ,Stadskanaal                        ,52.98333333333333,6.95,19170,"['52° 59′ NB, 6° 57′ OL']"
1128,1161,Veendam,Groningen,Noord-Nederland          ,Veendam                            ,53.1,6.866666666666667,21560,"['53° 6′ NB, 6° 52′ OL']"
1150,1183,Winschoten,Groningen,Noord-Nederland          ,Oldambt                            ,53.13333333333333,7.033333333333332,17850,"['53° 8′ NB, 7° 2′ OL']"
1189,1222,Brunssum,Limburg,Zuid-Nederland           ,Brunssum                           ,50.95,5.966666666666668,27709,"50°57'NB, 5°58'OL"
1209,1242,Geleen,Limburg,Zuid-Nederland           ,Sittard-Geleen                     ,50.96666666666667,5.833333333333332,31625,"50° 58′ NB, 5° 50′ OL"
1223,1256,Heerlen,Limburg,Zuid-Nederland           ,Heerlen                            ,50.88333333333333,5.9833333333333325,86915,"50° 53′ NB, 5° 59′ OL"
1233,1266,Hoensbroek,Limburg,Zuid-Nederland           ,Heerlen                            ,50.91666666666666,5.933333333333334,18880,"50° 55′ NB, 5° 56′ OL"
1236,1269,Horst,Limburg,Zuid-Nederland           ,Horst aan de Maas                  ,51.45,6.05,13010,"51° 27′ NB, 6° 3′ OL"
1243,1276,Kerkrade,Limburg,Zuid-Nederland           ,Kerkrade                           ,50.85,6.066666666666666,40230,"50° 51′ NB, 6° 4′ OL"
1249,1282,Landgraaf,Limburg,Zuid-Nederland           ,Landgraaf                          ,50.90805555555556,6.03,37267,"50°54'29""NB, 6°1'48""OL"
1259,1292,Maastricht,Limburg,Zuid-Nederland           ,Maastricht                         ,50.85,5.683333333333334,118636,"50° 51′ NB, 5° 41′ OL"
1279,1313,Nederweert,Limburg,Zuid-Nederland           ,Nederweert                         ,51.3,5.783333333333332,10335,"51° 18′ NB, 5° 47′ OL"
1301,1335,Reuver,Limburg,Zuid-Nederland           ,Beesel                             ,51.28333333333333,6.083333333333332,11040,"51° 17′ NB, 6° 5′ OL"
1302,1336,Roermond,Limburg,Zuid-Nederland           ,Roermond                           ,51.2,6.0,41680,"51° 12′ NB, 5° 60′ OL"
1316,1350,Sittard,Limburg,Zuid-Nederland           ,Sittard-Geleen                     ,51.0,5.866666666666667,37335,"50° 60′ NB, 5° 52′ OL"
1320,1354,Stein,Limburg,Zuid-Nederland           ,Stein                              ,50.96666666666667,5.75,10880,"50° 58′ NB, 5° 45′ OL"
1328,1362,Tegelen,Limburg,Zuid-Nederland           ,Venlo                              ,51.33333333333334,6.133333333333334,15250,"51° 20′ NB, 6° 8′ OL"
1334,1368,Valkenburg,Limburg,Zuid-Nederland           ,Valkenburg aan de Geul             ,50.86666666666667,5.833333333333332,10505,"50° 52′ NB, 5° 50′ OL"
1336,1370,Venlo,Limburg,Zuid-Nederland           ,Venlo                              ,51.38333333333333,6.166666666666668,68205,"51° 23′ NB, 6° 10′ OL"
1337,1371,Venray,Limburg,Zuid-Nederland           ,Venray                             ,51.53333333333333,5.966666666666668,28353,"51° 32′ NB, 5° 58′ OL"
1346,1380,Weert,Limburg,Zuid-Nederland           ,Weert                              ,51.25,5.7,44650,"51° 15′ NB, 5° 42′ OL"
1358,1394,Asten,Noord-Brabant,Zuid-Nederland           ,Asten                              ,51.4,5.75,13070,"['51° 24′ NB, 5° 45′ OL']"
1363,1400,Beek en Donk,Noord-Brabant,Zuid-Nederland           ,Laarbeek                           ,51.53333333333333,5.633333333333333,10390,"51° 32′ NB, 5° 38′ OL"
1365,1402,Bergeijk,Noord-Brabant,Zuid-Nederland           ,Bergeijk                           ,51.31666666666667,5.366666666666666,10915,"['51° 19′ NB, 5° 22′ OL']"
1366,1403,Bergen op Zoom,Noord-Brabant,Zuid-Nederland           ,Bergen op Zoom                     ,51.5,4.3,52440,"51° 30′ NB, 4° 18′ OL"
1367,1404,Berghem,Noord-Brabant,Zuid-Nederland           ,Oss                                ,51.76666666666666,5.566666666666666,10285,"['51° 46′ NB, 5° 34′ OL']"
1368,1405,Berkel-Enschot,Noord-Brabant,Zuid-Nederland           ,Tilburg                            ,51.58305555555556,5.143055555555557,11835,"['51°34\'59""NB, 5°8\'35""OL']"
1370,1407,Best,Noord-Brabant,Zuid-Nederland           ,Best                               ,51.511111111111106,5.391944444444443,30073,"['51°30\'40""NB, 5°23\'31""OL']"
1374,1411,Bladel,Noord-Brabant,Zuid-Nederland           ,Bladel                             ,51.36666666666667,5.216666666666667,10465,"['51° 22′ NB, 5° 13′ OL']"
1377,1414,Boxmeer,Noord-Brabant,Zuid-Nederland           ,Boxmeer                            ,51.65,5.95,12390,"['51° 39′ NB, 5° 57′ OL']"
1378,1415,Boxtel,Noord-Brabant,Zuid-Nederland           ,Boxtel                             ,51.58333333333334,5.333333333333333,25930,"['51° 35′ NB, 5° 20′ OL']"
1379,1416,Breda,Noord-Brabant,Zuid-Nederland           ,Breda                              ,51.58333333333334,4.783333333333333,150520,"['51° 35′ NB, 4° 47′ OL']"
1387,1424,Cuijk,Noord-Brabant,Zuid-Nederland           ,Cuijk                              ,51.73333333333333,5.883333333333333,17940,"['51° 44′ NB, 5° 53′ OL']"
1389,1426,Deurne,Noord-Brabant,Zuid-Nederland           ,Deurne                             ,51.46666666666667,5.8,24965,"['51° 28′ NB, 5° 48′ OL']"
1393,1432,Dongen,Noord-Brabant,Zuid-Nederland           ,Dongen                             ,51.61666666666667,4.933333333333334,23765,"['51° 37′ NB, 4° 56′ OL']"
1397,1436,Drunen,Noord-Brabant,Zuid-Nederland           ,Heusden                            ,51.68333333333333,5.133333333333334,18350,"['51° 41′ NB, 5° 8′ OL']"
1400,1440,Eersel,Noord-Brabant,Zuid-Nederland           ,Eersel                             ,51.35,5.316666666666666,10195,"['51° 21′ NB, 5° 19′ OL']"
1402,1442,Eindhoven,Noord-Brabant,Zuid-Nederland           ,Eindhoven                          ,51.43333333333333,5.466666666666668,233983,"['51° 26′ NB, 5° 28′ OL']"
1409,1449,Etten-Leur,Noord-Brabant,Zuid-Nederland           ,Etten-Leur                         ,51.571111111111115,4.636111111111111,43896,"['51°34\'16""NB, 4°38\'10""OL']"
1416,1456,Geldrop,Noord-Brabant,Zuid-Nederland           ,Geldrop-Mierlo                     ,51.41666666666666,5.55,28810,"['51° 25′ NB, 5° 33′ OL']"
1417,1457,Gemert,Noord-Brabant,Zuid-Nederland           ,Gemert-Bakel                       ,51.55,5.683333333333334,16670,"['51° 33′ NB, 5° 41′ OL']"
1422,1462,Goirle,Noord-Brabant,Zuid-Nederland           ,Goirle                             ,51.51666666666666,5.066666666666666,20895,"['51° 31′ NB, 5° 4′ OL']"
1429,1469,Halsteren,Noord-Brabant,Zuid-Nederland           ,Bergen op Zoom                     ,51.51666666666666,4.266666666666667,12450,"['51° 31′ NB, 4° 16′ OL']"
1439,1479,Heesch,Noord-Brabant,Zuid-Nederland           ,Bernheze                           ,51.73333333333333,5.516666666666668,13445,"['51° 44′ NB, 5° 31′ OL']"
1444,1484,Helmond,Noord-Brabant,Zuid-Nederland           ,Helmond                            ,51.48333333333333,5.65,92420,"['51° 29′ NB, 5° 39′ OL']"
1448,1488,'s-Hertogenbosch,Noord-Brabant,Zuid-Nederland           ,'s-Hertogenbosch                   ,51.68333333333333,5.3,110790,"51° 41′ NB, 5° 18′ OL"
1464,1504,Kaatsheuvel,Noord-Brabant,Zuid-Nederland           ,Loon op Zand                       ,51.65,5.033333333333333,16550,"['51° 39′ NB, 5° 2′ OL']"
1492,1532,Made,Noord-Brabant,Zuid-Nederland           ,Drimmelen                          ,51.68333333333333,4.8,12450,"['51° 41′ NB, 4° 48′ OL']"
1497,1537,Mierlo,Noord-Brabant,Zuid-Nederland           ,Geldrop-Mierlo                     ,51.43333333333333,5.616666666666667,10785,"['51° 26′ NB, 5° 37′ OL']"
1516,1556,Nuenen,Noord-Brabant,Zuid-Nederland           ,"Nuenen, Gerwen en Nederwetten      ",51.46666666666667,5.55,23186,"['51° 28′ NB, 5° 33′ OL']"
1521,1561,Oirschot,Noord-Brabant,Zuid-Nederland           ,Oirschot                           ,51.5,5.316666666666666,13200,"['51° 30′ NB, 5° 19′ OL']"
1522,1562,Oisterwijk,Noord-Brabant,Zuid-Nederland           ,Oisterwijk                         ,51.58333333333334,5.2,19835,"51° 35′ NB, 5° 12′ OL"
1526,1566,Oosterhout,Noord-Brabant,Zuid-Nederland           ,Oosterhout                         ,51.63333333333333,4.883333333333333,50200,"['51° 38′ NB, 4° 53′ OL']"
1528,1568,Oss,Noord-Brabant,Zuid-Nederland           ,Oss                                ,51.76666666666666,5.516666666666668,58090,"['51° 46′ NB, 5° 31′ OL']"
1532,1572,Oudenbosch,Noord-Brabant,Zuid-Nederland           ,Halderberge                        ,51.58333333333334,4.516666666666667,12505,"['51° 35′ NB, 4° 31′ OL']"
1536,1576,Prinsenbeek,Noord-Brabant,Zuid-Nederland           ,Breda                              ,51.6,4.716666666666667,11850,"['51° 36′ NB, 4° 43′ OL']"
1539,1579,Raamsdonksveer,Noord-Brabant,Zuid-Nederland           ,Geertruidenberg                    ,51.7,4.883333333333333,12515,"['51° 42′ NB, 4° 53′ OL']"
1545,1585,Rijen,Noord-Brabant,Zuid-Nederland           ,Gilze en Rijen                     ,51.58333333333334,4.916666666666667,16805,"['51° 35′ NB, 4° 55′ OL']"
1551,1591,Roosendaal,Noord-Brabant,Zuid-Nederland           ,Roosendaal                         ,51.53333333333333,4.466666666666667,67055,"['51° 32′ NB, 4° 28′ OL']"
1552,1592,Rosmalen,Noord-Brabant,Zuid-Nederland           ,'s-Hertogenbosch                   ,51.71666666666667,5.366666666666666,36320,"['51° 43′ NB, 5° 22′ OL']"
1557,1597,Schijndel,Noord-Brabant,Zuid-Nederland           ,Meierijstad                        ,51.61666666666667,5.433333333333334,23760,"['51° 37′ NB, 5° 26′ OL']"
1562,1602,Sint-Michielsgestel,Noord-Brabant,Zuid-Nederland           ,Sint-Michielsgestel                ,51.65,5.366666666666666,12330,"['51° 39′ NB, 5° 22′ OL']"
1563,1603,Sint-Oedenrode,Noord-Brabant,Zuid-Nederland           ,Meierijstad                        ,51.56666666666667,5.466666666666668,18160,"['51° 34′ NB, 5° 28′ OL']"
1566,1606,Someren,Noord-Brabant,Zuid-Nederland           ,Someren                            ,51.38333333333333,5.716666666666668,17080,"['51° 23′ NB, 5° 43′ OL']"
1567,1607,Son en Breugel,Noord-Brabant,Zuid-Nederland           ,Son en Breugel                     ,51.51611111111111,5.501944444444446,17465,"51°30'58""NB, 5°30'7""OL"
1572,1612,Steenbergen,Noord-Brabant,Zuid-Nederland           ,Steenbergen                        ,51.58333333333334,4.316666666666666,14165,"['51° 35′ NB, 4° 19′ OL']"
1580,1620,Tilburg,Noord-Brabant,Zuid-Nederland           ,Tilburg                            ,51.55,5.083333333333333,197020,"['51° 33′ NB, 5° 5′ OL']"
1581,1621,Uden,Noord-Brabant,Zuid-Nederland           ,Uden                               ,51.66666666666666,5.6,36315,"['51° 40′ NB, 5° 36′ OL']"
1586,1627,Valkenswaard,Noord-Brabant,Zuid-Nederland           ,Valkenswaard                       ,51.35,5.466666666666668,30910,"['51° 21′ NB, 5° 28′ OL']"
1588,1629,Veghel,Noord-Brabant,Zuid-Nederland           ,Meierijstad                        ,51.61666666666667,5.533333333333332,32015,"['51° 37′ NB, 5° 32′ OL']"
1589,1630,Veldhoven,Noord-Brabant,Zuid-Nederland           ,Veldhoven                          ,51.4,5.4,45625,"['51° 24′ NB, 5° 24′ OL']"
1598,1639,Vlijmen,Noord-Brabant,Zuid-Nederland           ,Heusden                            ,51.7,5.216666666666667,14345,"['51° 42′ NB, 5° 13′ OL']"
1602,1643,Vught,Noord-Brabant,Zuid-Nederland           ,Vught                              ,51.65,5.3,25615,"['51° 39′ NB, 5° 18′ OL']"
1604,1645,Waalwijk,Noord-Brabant,Zuid-Nederland           ,Waalwijk                           ,51.68333333333333,5.066666666666666,33415,"['51° 41′ NB, 5° 4′ OL']"
1609,1650,Werkendam,Noord-Brabant,Zuid-Nederland           ,Altena                             ,51.81666666666667,4.883333333333333,11360,"['51° 49′ NB, 04° 53′ OL']"
1623,1664,Zevenbergen,Noord-Brabant,Zuid-Nederland           ,Moerdijk                           ,51.65,4.6,14335,"51° 39′ NB, 4° 36′ OL"
1626,1668,Aalsmeer,Noord-Holland,West-Nederland           ,Aalsmeer                           ,52.23333333333333,4.75,31927,"['52° 14′ NB, 4° 45′ OL']"
1633,1675,Alkmaar,Noord-Holland,West-Nederland           ,Alkmaar                            ,52.61666666666667,4.75,89905,"['52° 37′ NB, 4° 45′ OL']"
1634,1676,Amstelveen,Noord-Holland,West-Nederland           ,Amstelveen                         ,52.3,4.833333333333333,90705,"['52° 18′ NB, 4° 50′ OL']"
1635,1677,Amsterdam,Noord-Holland,West-Nederland           ,Amsterdam                          ,52.36666666666667,4.9,869709,"['52° 22′ NB, 4° 54′ OL']"
1640,1682,Assendelft,Noord-Holland,West-Nederland           ,Zaanstad                           ,52.46666666666667,4.75,23915,"['52° 28′ NB, 4° 45′ OL']"
1642,1684,Badhoevedorp,Noord-Holland,West-Nederland           ,Haarlemmermeer                     ,52.33333333333334,4.783333333333333,12650,"['52° 20′ NB, 4° 47′ OL']"
1649,1691,Bergen ,Noord-Holland,West-Nederland           ,Bergen (NH.)                       ,52.66666666666666,4.7,29762,"52° 40′ NB, 4° 42′ OL"
1652,1694,Beverwijk,Noord-Holland,West-Nederland           ,Beverwijk                          ,52.48333333333333,4.65,41754,"['52° 29′ NB, 4° 39′ OL']"
1653,1695,Blaricum,Noord-Holland,West-Nederland           ,Blaricum                           ,52.26666666666666,5.25,11799,"['52° 16′ NB, 5° 15′ OL']"
1654,1696,Bloemendaal,Noord-Holland,West-Nederland           ,Bloemendaal                        ,52.4,4.616666666666667,23566,"52° 24′ NB, 4° 37′ OL"
1657,1699,Bovenkarspel,Noord-Holland,West-Nederland           ,Stede Broec                        ,52.7,5.25,10720,"['52° 42′ NB, 5° 15′ OL']"
1666,1708,Bussum,Noord-Holland,West-Nederland           ,Gooise Meren                       ,52.26666666666666,5.166666666666667,33595,"['52° 16′ NB, 5° 10′ OL']"
1668,1710,Castricum,Noord-Holland,West-Nederland           ,Castricum                          ,52.55,4.666666666666667,36124,"['52° 33′ NB, 4° 40′ OL']"
1671,1713,Diemen,Noord-Holland,West-Nederland           ,Diemen                             ,52.34388888888889,4.963055555555556,31206,"['52°20\'38""NB, 4°57\'47""OL']"
1680,1722,Enkhuizen,Noord-Holland,West-Nederland           ,Enkhuizen                          ,52.7,5.3,18658,"['52° 42′ NB, 5° 18′ OL']"
1687,1729,Haarlem,Noord-Holland,West-Nederland           ,Haarlem                            ,52.38333333333333,4.633333333333333,162962,"['52° 23′ NB, 4° 38′ OL']"
1692,1734,Heemskerk,Noord-Holland,West-Nederland           ,Heemskerk                          ,52.51666666666666,4.666666666666667,39230,"['52° 31′ NB, 4° 40′ OL']"
